prompt,completion
Generate a Biology short answer question:,"What recessive, life-threatening disorder affects the cells that produce mucus, sweat, and digestive juices, rendering secretions thick and sticky?"
Generate a Physics short answer question:,The two leaves of an electroscope repel each other and stand out at an angle. What force balances the electrical force so the leaves don’t stand out farther?
Generate a Physics short answer question:,"A block of wood, when floating in water, displaces 300 cubic centimeters of water. When completely submerged, the block displaces 400 cubic centimeters of water. What is the specific gravity of the block?"
Generate a Chemistry multiple choice question:,A nitrogen atom present in the backbone of a polypeptide [pol-ee-PEP-tyd] is part of which of the following functional groups? W) A primary amine X) A secondary amine Y) A tertiary amine [TER-shee-er-ee] Z) An amide
Generate a Chemistry multiple choice question:,Which of the following is the final product of purine metabolism excreted in the urine? W) Urea X) Uric acid Y) Ammonia Z) Ammonium
Generate a Math short answer question:,For what values of x is the function f x [f of x equals the fraction with numerator x squared and denominator x squared minus 4 x plus 4] NOT ( )= defined?
Generate a Math multiple choice question:,Which of the following inequalities has NO solutions? W) x X) x [the absolute value of the quantity x minus 1 is greater than negative 10] Y) 7x + 4 > 3 [the absolute value of the quantity x plus 3 is less than negative 2] Z) | – 1x| > -10 | + 3| < -2 AN -S1W00E R+: 5Y ≥) x8 | + 3| < -2 TOSS-UP 20) ENERGY Short Answer What energy barrier must a chemical reaction pass in order to proceed?
Generate a Energy short answer question:,"One proposed geoengineering mechanism that could be used to mitigate increased atmospheric carbon dioxide levels is called iron seeding and involves spreading large quantities of iron over the surface of the ocean. What is the name of the organism that would grow as a result, leading to carbon sequestration [see-kwes-TRAY- shuhn]?"
Generate a Biology multiple choice question:,Which of the following choices is NOT a source of new genetic combinations? W) Mitosis [my-TOH-sis] X) Fertilization Y) Mutation Z) Meiosis [meye-OH-sis]
Generate a Biology multiple choice question:,Which of the following parts of B and T cells bind to antigens? W) Variable region X) Heavy chain Y) Alpha chain only Z) Disulfide bridge
Generate a Physics short answer question:,What force does a charged particle moving through a magnetic field experience that is perpendicular to the direction the particle is traveling?
Generate a Physics short answer question:,"What is the mass, in kilograms, of a 2 kilogram rock on a planet with a gravitational acceleration of 8.2 meters per second squared?"
Generate a Chemistry short answer question:,"At -78º Celsius, dry ice changes directly from a solid to a gas. What is this process called?"
Generate a Chemistry multiple choice question:,Which of the following is the formula for n-Octadecanoic acid? W) C H O 6 12 6 X) C H COOH 18 36 Y) C H COOH 17 35 Z) C H COOH 16 32
Generate a Math short answer question:,"If ln [natural log of the quantity x cubed equals 6], what is ln [the natural log of the quantity x squared]?"
Generate a Math short answer question:,"Iff x x x , then what is f [f of negative 2]? 3 2"
Generate a Physics short answer question:,Physics – Short Answer Planck was able to describe the color change of black bodies at different temperatures by introducing what concept?
Generate a Physics short answer question:,"Physics – Short Answer A horizontal force of 90 newtons is applied to a 20-kilogram block that is initially at rest on a horizontal surface. The coefficient of static friction between the block and the surface is 0.5 and the coefficient of kinetic friction of 0.2. In meters per second squared, what is the acceleration of the block?"
Generate a Energy multiple choice question:,Energy – Multiple Choice Which of the following energy sources is most directly derived from the sun? W) Wind X) Tidal energy Y) Geothermal Z) Nuclear
Generate a Energy short answer question:,Energy – Short Answer Transesterification is a reaction used to generate biodiesel from what class of biomolecule?
Generate a Chemistry short answer question:,"Chemistry – Short Answer Given the percentages by mass of different elements in a compound, identify all of the following three characteristics of the compound that can be uniquely determined:1) The empirical formula; 2) The molecular formula; 3) The structure"
Generate a Chemistry short answer question:,Chemistry – Short Answer What property of an element is defined as the amount of energy released when one mole of electrons is added to one mole of the neutral atomic element in the gaseous state?
Generate a Biology short answer question:,Biology – Short Answer The webbed hand of a human embryo develops into five separate fingers by a process of programmed cell death. What is the term for this process?
Generate a Biology multiple choice question:,"Biology – Multiple Choice What is the probability of obtaining an F1 purple pea flower if purple is dominant, white is recessive, and a parental cross is made between a heterozygous purple and homozygous white flower? W) 1/8 X) 1/4 Y) 1/2 Z) 1"
Generate a Math multiple choice question:,"Math – Multiple Choice Matrices with which of the following pairs of dimensions cannot be multiplied together? W) 3 rows, 2 columns times 2 rows, 3 columns X) 6 rows, 5 columns times 6 rows, 5 columns Y) 1 row, 2 columns times 2 rows, 2 columns Z) 1,000 rows, 2,000 columns times 2,000 rows, 4,000 columns"
Generate a Math short answer question:,Math – Short Answer Evaluate the following expression: open parenthesis negative cosine 360 degrees + sine 270 degrees close parenthesis times open parenthesis cosine 0 degrees + sine 0 degrees close parenthesis squared.
Generate a Energy short answer question:,Energy – Short Answer Uranium pellets that are sealed into fuel rods are composed of what specific uranium compound?
Generate a Energy multiple choice question:,"Energy – Multiple Choice What technology provides the vast majority of the worldwide grid energy storage capacity? W) Liquid or compressed air X) Lead-acid, nickel-cadmium and sodium-sulfur batteries Y) Hydroelectric pump storage Z) Superconducting magnetic energy storage"
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following best describes how oxygen is stored in the muscles? W) Spread throughout X) Bound to hemoglobin Y) Bound to calmodulin Z) Bound to myoglobin
Generate a Biology multiple choice question:,"Biology – Multiple Choice Which of the following examples is NOT evidence for evolution from a common ancestor? W) All living things have basic cell processes that are similar and use similar molecules X) Hox genes, or homeotic genes, control vertebrate body plans and are homologous in all vertebrates Y) Even though snakes don't have legs, some snake embryos have limb buds during development similar to other reptile embryos Z) Bats and birds both have wings that are adaptations for flying"
